Feature,Estimate,Std Error,t-stat,P-Value
Intercept,81712.314367228,2962.2422303045855,0.7308865996719746,0.4648632360875571
MIN_YEARS_EXPERIENCE,2165.0631511120446,3555.097038590949,-0.050092509310951244,0.9600495344523194
DURATION,-178.08373150695232,101.79112580002139,65.79705025810176,0.0
EMPLOYMENT_TYPE_NAME_vec_Full-time (> 32 hours),6697.555820092767,23.458415204387137,-1.0367409976681574,0.29987826713149435
EMPLOYMENT_TYPE_NAME_vec_Part-time (â‰¤ 32 hours),-24.320300782710195,2996.431852326303,27.269872433037317,0.0
